id;city_id;building_id;profession;position;company;salary_from;salary_to;min_experience;source
m-work-1;murmansk-city;building-001;Программист;Junior Java-разработчик;Северные системы;100000;120000;0;
m-work-2;murmansk-city;building-003;Программист;Java-разработчик;Арктик Софт;145000;165000;2;
m-work-3;murmansk-city;building-005;Программист;Senior Java-разработчик;HighPrice Work;215000;245000;4;
m-work-4;murmansk-city;building-009;Программист;Frontend-разработчик;Мурманск Digital;135000;155000;1;
m-work-5;murmansk-city;building-010;Программист;DevOps-инженер;Полярная инфраструктура;210000;250000;3;
m-eng-1;murmansk-city;building-001;Инженер;Инженер;Арктик Инжиниринг;135000;155000;0;
m-eng-2;murmansk-city;building-011;Инженер;Инженер-энергетик;Кольская энергия;165000;190000;2;
m-eng-3;murmansk-city;building-012;Инженер;Главный инженер проекта;СеверПроект;230000;270000;5;
m-doc-1;murmansk-city;building-003;Врач;Врач-терапевт;Городская больница;125000;145000;0;
m-doc-2;murmansk-city;building-013;Врач;Врач-хирург;Областная клиника;185000;220000;3;
m-analyst-1;murmansk-city;building-014;Аналитик данных;BI-аналитик;Арктические сервисы;130000;155000;1;
m-analyst-2;murmansk-city;building-015;Аналитик данных;Data analyst;Портовые решения;170000;205000;3;
m-teacher-1;murmansk-city;building-016;Учитель;Учитель информатики;Лицей Севера;85000;110000;0;
m-nurse-1;murmansk-city;building-017;Медсестра;Медицинская сестра;Городская поликлиника;82000;100000;0;
m-mech-1;murmansk-city;building-018;Механик;Механик автопарка;Северная логистика;125000;150000;1;
a-work-1;anadyr;building-101;Программист;Разработчик;Чукотка Digital;135000;155000;0;
a-work-2;anadyr;building-103;Программист;Middle Java-разработчик;Северные технологии;180000;200000;2;
a-work-3;anadyr;building-105;Программист;Senior разработчик;Arctic Data;245000;275000;4;
a-work-4;anadyr;building-109;Программист;Инженер платформы;Чукотка Cloud;220000;260000;3;
a-eng-1;anadyr;building-101;Инженер;Инженер проекта;Чукотстрой;165000;185000;0;
a-eng-2;anadyr;building-110;Инженер;Инженер связи;Полярная связь;190000;225000;2;
a-eng-3;anadyr;building-111;Инженер;Инженер эксплуатации;Анадырь Энерго;225000;265000;4;
a-doc-1;anadyr;building-103;Врач;Врач;Окружная больница;155000;175000;0;
a-doc-2;anadyr;building-112;Врач;Педиатр;Окружная больница;185000;220000;2;
a-analyst-1;anadyr;building-113;Аналитик данных;Аналитик отчетности;Региональный центр данных;150000;180000;1;
a-teacher-1;anadyr;building-114;Учитель;Учитель математики;Анадырская школа;105000;130000;0;
a-nurse-1;anadyr;building-115;Медсестра;Старшая медсестра;Окружная больница;105000;130000;1;
a-mech-1;anadyr;building-116;Механик;Механик спецтехники;Северный завоз;165000;200000;2;
